Image Name,Number of Matches,Matching Percentage,ROI Location
a.JPG,125,25.0,"(0, 0)"
aa.JPG,115,23.0,"(0, 0)"
b.jpg,117,23.400000000000002,"(0, 0)"
bb.JPG,124,24.8,"(0, 0)"
c.jpg,103,20.599999999999998,"(0, 0)"
cc.JPG,127,25.4,"(0, 0)"
d.jpg,109,21.8,"(0, 0)"
dd.JPG,80,16.0,"(0, 0)"
e.jpg,126,25.2,"(0, 0)"
ee.JPG,116,23.200000000000003,"(0, 0)"
f.jpg,116,23.200000000000003,"(0, 0)"
ff.JPG,110,22.0,"(0, 0)"
g.jpg,90,18.0,"(0, 0)"
gg.JPG,125,25.0,"(0, 0)"
h.jpg,104,20.8,"(0, 0)"
hh.JPG,89,17.8,"(0, 0)"
i.JPG,83,16.6,"(0, 0)"
ii.JPG,128,25.6,"(0, 0)"
j.JPG,130,26.0,"(0, 0)"
jj.JPG,91,18.2,"(0, 0)"
k.JPG,120,24.0,"(0, 0)"
kk.JPG,130,26.0,"(0, 0)"
l.JPG,124,24.8,"(0, 0)"
ll.JPG,55,11.0,"(0, 0)"
m.jpg,125,25.0,"(0, 0)"
mm.JPG,119,23.799999999999997,"(0, 0)"
n.jpg,124,24.8,"(0, 0)"
nn.JPG,121,24.2,"(0, 0)"
o.jpg,130,26.0,"(0, 0)"
oo.JPG,124,24.8,"(0, 0)"
p.jpg,130,26.0,"(0, 0)"
pp.JPG,115,23.0,"(0, 0)"
q.jpg,85,17.0,"(0, 0)"
qq.JPG,103,20.599999999999998,"(0, 0)"
r.jpg,111,22.2,"(0, 0)"
rr.jpg,121,24.2,"(0, 0)"
s.jpg,115,23.0,"(0, 0)"
ss.JPG,123,24.6,"(0, 0)"
t.jpg,119,23.799999999999997,"(0, 0)"
tt.JPG,124,24.8,"(0, 0)"
u.jpg,130,26.0,"(0, 0)"
uu.JPG,127,25.4,"(0, 0)"
v.jpg,115,23.0,"(0, 0)"
vv.JPG,117,23.400000000000002,"(0, 0)"
w.jpg,88,17.599999999999998,"(0, 0)"
ww.JPG,127,25.4,"(0, 0)"
x.jpg,77,15.4,"(0, 0)"
xx.jpeg,69,13.8,"(0, 0)"
y.jpg,98,19.6,"(0, 0)"
yy.jpeg,117,23.400000000000002,"(0, 0)"
z.jpg,131,26.200000000000003,"(0, 0)"
zz.jpeg,66,13.17365269461078,"(0, 0)"
